rcv 	0.00	S   	   0	   0	   0
snd 	0.00	SA  	   0	   0	   1
rcv 	0.00	A   	   1	   0	   1
rcv 	0.01	D   	   1	 100	   1
snd 	0.01	A   	   1	   0	 101
rcv 	0.01	D   	 101	 100	   1
snd 	0.01	A   	   1	   0	 201
rcv 	0.01	D   	 301	 100	   1
rcv 	0.01	D   	   1	 100	   1
snd/DA	0.01	A   	   1	   0	 201
rcv 	0.01	D   	 101	 100	   1
snd/DA	0.01	A   	   1	   0	 201
rcv 	0.01	D   	 201	 100	   1
snd 	0.01	A   	   1	   0	 401
snd 	0.01	A   	   1	   0	 401
rcv 	0.01	D   	 301	 100	   1
snd/DA	0.01	A   	   1	   0	 401
rcv 	0.01	D   	 401	 100	   1
snd 	0.01	A   	   1	   0	 501
rcv 	0.01	D   	 501	 100	   1
snd 	0.01	A   	   1	   0	 601
rcv 	0.01	D   	 201	 100	   1
snd/DA	0.01	A   	   1	   0	 601
rcv 	0.02	D   	 301	 100	   1
snd/DA	0.02	A   	   1	   0	 601
rcv 	0.02	D   	 401	 100	   1
snd/DA	0.02	A   	   1	   0	 601
rcv 	0.04	D   	 601	 100	   1
snd 	0.04	A   	   1	   0	 701
rcv 	0.04	D   	 601	 100	   1
snd/DA	0.04	A   	   1	   0	 701
rcv 	0.05	D   	 701	 100	   1
snd 	0.05	A   	   1	   0	 801
rcv 	0.05	D   	 801	 100	   1
snd 	0.05	A   	   1	   0	 901
rcv 	0.05	D   	1001	 100	   1
rcv 	0.06	D   	 901	 100	   1
snd 	0.06	A   	   1	   0	1101
snd 	0.06	A   	   1	   0	1101
rcv 	0.06	D   	1201	 100	   1
rcv 	0.06	D   	1301	 100	   1
rcv 	0.06	D   	1401	 100	   1
rcv 	0.06	D   	 901	 100	   1
snd/DA	0.06	A   	   1	   0	1101
rcv 	0.06	D   	1001	 100	   1
snd/DA	0.06	A   	   1	   0	1101
rcv 	0.06	D   	1101	 100	   1
snd 	0.06	A   	   1	   0	1301
snd 	0.06	A   	   1	   0	1401
snd 	0.06	A   	   1	   0	1501
snd 	0.06	A   	   1	   0	1501
rcv 	0.07	D   	1201	 100	   1
snd/DA	0.07	A   	   1	   0	1501
rcv 	0.07	D   	1301	 100	   1
snd/DA	0.07	A   	   1	   0	1501
rcv 	0.07	D   	1401	 100	   1
snd/DA	0.07	A   	   1	   0	1501
rcv 	0.07	D   	 901	 100	   1
snd/DA	0.07	A   	   1	   0	1501
rcv 	0.07	D   	1101	 100	   1
snd/DA	0.07	A   	   1	   0	1501
rcv 	0.08	D   	1201	 100	   1
snd/DA	0.08	A   	   1	   0	1501
rcv 	0.08	D   	1301	 100	   1
snd/DA	0.08	A   	   1	   0	1501
rcv 	0.08	D   	1401	 100	   1
snd/DA	0.08	A   	   1	   0	1501
rcv 	0.10	D   	1501	 100	   1
snd 	0.10	A   	   1	   0	1601
rcv 	0.10	D   	1601	 100	   1
snd 	0.10	A   	   1	   0	1701
rcv 	0.10	D   	1701	 100	   1
snd 	0.10	A   	   1	   0	1801
rcv 	0.10	D   	1801	 100	   1
snd 	0.10	A   	   1	   0	1901
rcv 	0.10	D   	1901	 100	   1
snd 	0.10	A   	   1	   0	2001
rcv 	0.10	D   	2001	 100	   1
snd 	0.10	A   	   1	   0	2101
rcv 	0.11	D   	1501	 100	   1
snd/DA	0.11	A   	   1	   0	2101
rcv 	0.11	D   	1601	 100	   1
snd/DA	0.11	A   	   1	   0	2101
rcv 	0.11	D   	1701	 100	   1
snd/DA	0.11	A   	   1	   0	2101
rcv 	0.11	D   	1801	 100	   1
snd/DA	0.11	A   	   1	   0	2101
rcv 	0.14	D   	2101	 100	   1
snd 	0.14	A   	   1	   0	2201
rcv 	0.14	D   	2101	 100	   1
snd/DA	0.14	A   	   1	   0	2201
rcv 	0.15	D   	2401	 100	   1
rcv 	0.15	D   	2601	 100	   1
rcv 	0.16	D   	2101	 100	   1
snd/DA	0.16	A   	   1	   0	2201
rcv 	0.16	D   	2201	 100	   1
snd 	0.16	A   	   1	   0	2301
rcv 	0.17	D   	2301	 100	   1
snd 	0.17	A   	   1	   0	2501
snd 	0.17	A   	   1	   0	2501
rcv 	0.17	D   	2401	 100	   1
snd/DA	0.17	A   	   1	   0	2501
rcv 	0.17	D   	2501	 100	   1
snd 	0.17	A   	   1	   0	2701
snd 	0.17	A   	   1	   0	2701
rcv 	0.17	D   	2601	 100	   1
snd/DA	0.17	A   	   1	   0	2701
rcv 	0.17	D   	2701	 100	   1
snd 	0.17	A   	   1	   0	2801
rcv 	0.17	D   	2301	 100	   1
snd/DA	0.17	A   	   1	   0	2801
rcv 	0.17	D   	2801	 100	   1
snd 	0.17	A   	   1	   0	2901
rcv 	0.17	D   	2701	 100	   1
snd/DA	0.17	A   	   1	   0	2901
rcv 	0.18	D   	2901	 100	   1
snd 	0.18	A   	   1	   0	3001
rcv 	0.18	D   	2901	 100	   1
snd/DA	0.18	A   	   1	   0	3001
rcv 	0.21	D   	3001	  29	   1
snd 	0.21	A   	   1	   0	3030
rcv 	0.23	D   	3001	  29	   1
snd/DA	0.23	A   	   1	   0	3030
rcv 	0.24	F   	3030	   0	   1
snd 	0.24	A   	   1	   0	3030
snd 	3.24	F   	   1	   0	3030
rcv 	3.24	A   	3030	   0	   2
==============================================
Amount of data received (bytes) 3029
Total Segments Received 60
Data segments received 31
Data segments with Bit Errors 0
Duplicate data segments received 29
Duplicate ACKs sent 29
==============================================
