rcv 	0.00	S   	   0	   0	   0
snd 	0.00	SA  	   0	   0	   1
rcv 	0.00	A   	   1	   0	   1
rcv 	1.90	D   	   1	  50	   1
snd 	1.90	A   	   1	   0	  51
rcv 	1.90	D   	  51	  50	   1
rcv 	1.90	D   	 101	  50	   1
rcv 	1.90	D   	 151	  50	   1
rcv 	1.92	D   	 251	  50	   1
rcv 	1.92	D   	 301	  50	   1
rcv 	1.92	D   	 351	  50	   1
rcv 	1.92	D   	 401	  50	   1
rcv 	1.93	D   	 501	  50	   1
rcv 	1.93	D   	 551	  50	   1
rcv 	1.95	D   	  51	  50	   1
snd 	1.95	A   	   1	   0	 151
snd 	1.95	A   	   1	   0	 201
snd 	1.95	A   	   1	   0	 201
rcv 	1.95	D   	 101	  50	   1
snd/DA	1.95	A   	   1	   0	 201
rcv 	1.95	D   	 151	  50	   1
snd/DA	1.95	A   	   1	   0	 201
rcv 	1.95	D   	 201	  50	   1
snd 	1.95	A   	   1	   0	 301
snd 	1.95	A   	   1	   0	 351
snd 	1.95	A   	   1	   0	 401
snd 	1.95	A   	   1	   0	 451
snd 	1.95	A   	   1	   0	 451
rcv 	1.95	D   	 251	  50	   1
snd/DA	1.95	A   	   1	   0	 451
rcv 	1.95	D   	 301	  50	   1
snd/DA	1.95	A   	   1	   0	 451
rcv 	1.95	D   	 351	  50	   1
snd/DA	1.95	A   	   1	   0	 451
rcv 	1.95	D   	 401	  50	   1
snd/DA	1.95	A   	   1	   0	 451
rcv 	1.96	D   	 451	  50	   1
snd 	1.96	A   	   1	   0	 551
snd 	1.96	A   	   1	   0	 601
snd 	1.96	A   	   1	   0	 601
rcv 	1.96	D   	 501	  50	   1
snd/DA	1.96	A   	   1	   0	 601
rcv 	1.96	D   	 551	  50	   1
snd/DA	1.96	A   	   1	   0	 601
rcv 	1.97	D   	  51	  50	   1
snd/DA	1.97	A   	   1	   0	 601
rcv 	1.97	D   	 101	  50	   1
snd/DA	1.97	A   	   1	   0	 601
rcv 	1.97	D   	 151	  50	   1
snd/DA	1.97	A   	   1	   0	 601
rcv 	1.97	D   	 201	  50	   1
snd/DA	1.97	A   	   1	   0	 601
rcv 	1.97	D   	 251	  50	   1
snd/DA	1.97	A   	   1	   0	 601
rcv 	1.98	D   	 301	  50	   1
snd/DA	1.98	A   	   1	   0	 601
rcv 	1.98	D   	 351	  50	   1
snd/DA	1.98	A   	   1	   0	 601
rcv 	1.98	D   	 401	  50	   1
snd/DA	1.98	A   	   1	   0	 601
