snd 	0.00	S   	   0	   0	   0
rcv 	0.00	SA  	   1	   0	   1
snd 	0.00	A   	   1	   0	   1
snd 	0.01	D   	   1	 100	   1
snd 	0.01	D   	 101	 100	   1
snd/drop	0.01	D   	 201	 100	   1
snd 	0.01	D   	 301	 100	   1
snd 	0.01	D   	 401	 100	   1
snd 	0.01	D   	 501	 100	   1
rcv 	0.01	A   	   1	   0	 101
rcv 	0.01	A   	   1	   0	 201
rcv 	0.01	A   	   1	   0	 201
rcv 	0.01	A   	   1	   0	 201
snd/RXT	0.01	D   	 201	 100	   1
snd/RXT	0.01	D   	 301	 100	   1
rcv 	0.01	A   	   1	   0	 201
rcv 	0.02	A   	   1	   0	 401
rcv 	0.02	A   	   1	   0	 501
rcv 	0.02	A   	   1	   0	 601
rcv 	0.02	A   	   1	   0	 601
rcv 	0.02	A   	   1	   0	 601
snd/RXT	0.02	D   	 401	 100	   1
snd/RXT	0.02	D   	 501	 100	   1
snd 	0.02	D   	 601	 100	   1
rcv 	0.02	A   	   1	   0	 701
rcv 	0.03	A   	   1	   0	 701
snd/RXT	0.03	D   	 601	 100	   1
snd 	0.03	D   	 701	 100	   1
snd/RXT	0.03	D   	 701	 100	   1
snd 	0.03	D   	 801	 100	   1
snd 	0.03	D   	 901	 100	   1
snd 	0.03	D   	1001	 100	   1
snd 	0.03	D   	1101	 100	   1
snd 	0.03	D   	1201	 100	   1
snd/RXT	0.03	D   	 701	 100	   1
snd/RXT	0.03	D   	 801	 100	   1
snd/RXT	0.03	D   	 901	 100	   1
snd/RXT	0.03	D   	1001	 100	   1
snd/RXT	0.03	D   	1101	 100	   1
snd/RXT	0.03	D   	1201	 100	   1
snd/RXT	0.03	D   	 701	 100	   1
snd/RXT	0.03	D   	 801	 100	   1
snd/RXT	0.04	D   	 901	 100	   1
snd/RXT	0.04	D   	1001	 100	   1
snd/RXT	0.05	D   	1101	 100	   1
snd/RXT	0.05	D   	1201	 100	   1
snd/RXT	0.06	D   	 701	 100	   1
snd/RXT	0.06	D   	 801	 100	   1
snd/RXT	0.06	D   	 901	 100	   1
snd/RXT	0.06	D   	1001	 100	   1
snd/RXT	0.06	D   	1101	 100	   1
snd/RXT	0.06	D   	1201	 100	   1
rcv 	0.07	A   	   1	   0	 801
rcv 	0.07	A   	   1	   0	 801
rcv 	0.07	A   	   1	   0	 901
rcv 	0.08	A   	   1	   0	1001
rcv 	0.08	A   	   1	   0	1101
rcv 	0.08	A   	   1	   0	1201
rcv 	0.08	A   	   1	   0	1301
rcv 	0.08	A   	   1	   0	1301
rcv 	0.08	A   	   1	   0	1301
rcv 	0.08	A   	   1	   0	1301
rcv 	0.08	A   	   1	   0	1301
rcv 	0.08	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
snd 	0.09	D   	1301	 100	   1
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.09	A   	   1	   0	1301
rcv 	0.10	A   	   1	   0	1301
rcv 	0.10	A   	   1	   0	1301
rcv 	0.10	A   	   1	   0	1401
rcv 	0.11	A   	   1	   0	1401
snd/RXT	0.11	D   	1301	 100	   1
snd 	0.11	D   	1401	 100	   1
snd/RXT	0.11	D   	1401	 100	   1
snd 	0.12	D   	1501	 100	   1
snd 	0.12	D   	1601	 100	   1
snd 	0.12	D   	1701	 100	   1
snd 	0.12	D   	1801	 100	   1
snd 	0.12	D   	1901	 100	   1
snd/RXT	0.12	D   	1401	 100	   1
